Day,Month,Year,tasmax,tasmin,hurs,evspsbl,rsds,pr,sfcWind,vpd
16,6,1981,31.99,20.19,49.68,0.61,29.64,0.00,4.17,1.790892339887947
17,6,1981,36.47,21.34,45.49,0.71,29.77,0.00,2.98,2.353563220568386
18,6,1981,32.88,20.13,56.77,0.58,29.99,0.00,3.20,1.5894705401368805
19,6,1981,31.48,20.02,55.94,0.59,29.88,0.00,3.19,1.5328487285354413
20,6,1981,31.70,18.98,67.71,0.50,28.04,0.09,3.53,1.1090667664273117
21,6,1981,23.21,17.38,78.59,0.66,20.73,0.48,3.90,0.5170737901756168
22,6,1981,25.28,15.97,72.04,0.60,29.56,0.00,4.10,0.7040051187382983
23,6,1981,23.86,16.91,70.09,0.43,22.92,0.02,4.33,0.7306474889305972
24,6,1981,28.61,17.16,61.51,0.54,29.16,0.00,5.33,1.1304018446982058
25,6,1981,29.37,16.36,57.70,0.47,30.45,0.00,8.61,1.2589852334009488
26,6,1981,22.22,15.15,67.06,0.31,26.24,0.00,9.78,0.7249233824082759
27,6,1981,24.86,16.69,62.36,0.50,26.88,0.13,7.32,0.9487999455333316
28,6,1981,26.79,15.91,67.38,0.48,26.11,0.02,4.74,0.8692430954020853
29,6,1981,26.40,16.21,61.91,0.48,29.14,0.00,4.39,1.0064456629213865
30,6,1981,26.90,17.79,64.31,0.46,27.69,0.01,3.05,0.9959954435422864
1,7,1981,23.73,18.20,85.73,0.91,10.12,4.27,3.13,0.3586042807483012
2,7,1981,21.11,16.36,81.02,2.23,14.98,3.09,4.58,0.41417964395898466
3,7,1981,23.10,15.73,67.64,2.43,26.39,0.02,5.61,0.7464869558944944
4,7,1981,25.65,15.81,72.41,1.60,29.30,0.01,6.14,0.7020073001144331
5,7,1981,25.63,15.52,68.30,0.96,30.05,0.00,6.47,0.8007258104565955
6,7,1981,28.49,15.58,67.59,0.64,30.21,0.00,7.49,0.9170734075827192
7,7,1981,27.02,16.16,70.83,0.44,29.69,0.01,6.89,0.7885348463289497
8,7,1981,24.36,15.69,67.81,0.37,29.25,0.00,7.12,0.7776458530042858
9,7,1981,23.13,16.21,64.66,0.40,25.34,0.09,7.99,0.8259707127030611
10,7,1981,29.50,15.37,55.55,0.49,30.12,0.00,8.25,1.3044477650798116
11,7,1981,36.17,16.39,41.71,0.61,30.30,0.01,6.56,2.2910053609421595
12,7,1981,38.04,17.60,37.29,0.60,30.40,0.00,5.80,2.7127550565639647
13,7,1981,35.12,18.95,47.42,0.50,29.65,0.00,4.60,2.0639304234352167
14,7,1981,32.19,20.62,47.91,0.48,29.39,0.00,4.10,1.8845143227274428
15,7,1981,32.50,20.07,53.27,0.46,29.08,0.00,4.09,1.6914418028656342
16,7,1981,34.72,19.97,51.81,0.51,29.07,0.00,4.37,1.8963222510381579
17,7,1981,32.58,18.63,56.77,0.41,29.71,0.00,7.11,1.5260254660169434
18,7,1981,33.56,16.57,42.63,0.45,29.59,0.00,7.89,2.0297145135985892
19,7,1981,37.06,20.96,25.93,0.55,29.78,0.00,6.07,3.250284914592347
20,7,1981,36.19,19.13,43.73,0.49,29.14,0.00,4.84,2.312272042566043
21,7,1981,32.61,18.84,52.73,0.43,29.25,0.00,4.23,1.6773059092762683
22,7,1981,27.57,17.11,63.33,0.30,29.35,0.00,9.52,1.0336531086044094
23,7,1981,26.67,16.56,58.95,0.32,29.86,0.00,8.89,1.1045010185600381
24,7,1981,32.06,15.81,49.93,0.41,29.80,0.00,8.40,1.6441129061377473
25,7,1981,33.07,16.03,44.19,0.43,29.55,0.00,6.61,1.9175494856493156
26,7,1981,32.51,17.31,47.08,0.41,27.91,0.00,4.92,1.8177117377899281
27,7,1981,37.48,19.54,47.04,0.48,28.30,0.00,3.89,2.30727045855146
28,7,1981,38.06,18.87,45.14,0.49,28.56,0.00,2.53,2.420948719091056
29,7,1981,35.28,19.89,45.80,0.41,25.27,0.20,3.27,2.1768587748775152
30,7,1981,27.56,17.76,65.10,1.02,18.90,1.34,3.83,0.9976534837182864
31,7,1981,23.42,17.88,75.69,0.77,16.32,0.34,5.02,0.5992500604801607
1,8,1981,24.53,18.60,77.10,0.74,17.39,0.50,5.51,0.5980703188811853
2,8,1981,25.89,17.33,69.39,0.61,26.01,0.01,6.13,0.8139611547873062
3,8,1981,33.59,17.02,57.86,0.54,28.09,0.00,5.67,1.504232156858952
4,8,1981,30.10,19.56,55.94,0.38,27.89,0.00,3.76,1.44138091024447
5,8,1981,35.97,20.19,53.97,0.45,27.63,0.01,3.94,1.9095892173506366
6,8,1981,33.25,19.67,59.04,0.35,25.82,0.00,4.12,1.513892938341315
7,8,1981,32.44,18.91,59.85,0.38,27.38,0.00,3.25,1.4171680869148102
8,8,1981,29.84,18.82,69.50,0.29,27.02,0.00,4.82,0.972510609646132
9,8,1981,27.73,17.73,71.45,0.31,27.03,0.00,2.18,0.8208296451629771
10,8,1981,30.08,18.42,65.05,0.35,27.16,0.01,2.16,1.115202640002539
11,8,1981,26.77,17.59,78.82,0.30,25.33,0.05,2.83,0.5855095135513846
12,8,1981,29.86,19.31,66.76,0.29,20.05,0.00,2.68,1.071884229966256
13,8,1981,40.58,21.18,44.43,0.50,24.88,0.00,2.66,2.812205826887302
14,8,1981,39.66,23.52,35.50,0.54,24.79,0.11,4.11,3.2708041686296996
15,8,1981,33.81,20.91,52.30,0.31,25.75,0.01,4.29,1.8451636710772892
16,8,1981,26.63,19.12,67.72,0.28,26.07,0.01,3.04,0.9203953505201248
17,8,1981,24.46,18.71,75.42,0.26,25.28,0.02,3.73,0.6421837103809807
18,8,1981,25.28,17.22,77.10,0.26,25.87,0.01,3.17,0.5937863485125165
19,8,1981,23.77,19.11,73.71,0.25,21.97,0.07,3.43,0.6776891443337525
20,8,1981,24.23,17.46,73.31,0.26,14.64,0.05,3.99,0.6699593469988556
21,8,1981,24.15,16.93,73.70,0.34,23.60,0.54,2.97,0.6496150718044988
22,8,1981,22.91,18.06,81.90,0.46,14.63,0.14,4.35,0.4403702112220016
23,8,1981,23.89,18.78,82.46,0.69,14.59,0.66,3.06,0.45004898200561305
24,8,1981,29.30,17.32,73.73,0.63,24.81,0.01,4.86,0.7950647798050956
25,8,1981,27.70,18.45,80.03,0.29,16.81,0.01,3.53,0.5828764037210625
26,8,1981,26.38,17.83,81.24,0.36,23.32,0.09,2.65,0.5139979158676664
27,8,1981,29.91,17.11,71.80,0.39,24.20,0.06,4.30,0.8703209532861744
28,8,1981,27.98,17.32,69.56,0.26,24.44,0.00,6.32,0.8755923217421091
29,8,1981,26.21,17.27,71.51,0.22,22.14,0.00,5.53,0.7656016582413332
30,8,1981,23.87,16.91,71.06,0.22,20.66,0.00,4.55,0.707209466515893
31,8,1981,22.74,16.43,73.08,0.17,12.93,0.02,3.92,0.6237890126416372
1,9,1981,24.88,15.65,70.42,0.25,22.49,0.00,4.68,0.7281470560631509
2,9,1981,28.78,16.48,65.79,0.28,23.66,0.00,6.33,0.9971907385743706
3,9,1981,34.28,16.49,56.19,0.37,23.95,0.00,3.83,1.5944064117765828
4,9,1981,26.99,17.05,73.67,0.23,23.35,0.00,2.71,0.7250132419314852
5,9,1981,31.32,17.19,61.44,0.31,22.96,0.01,2.49,1.260193440926464
6,9,1981,28.06,17.98,69.55,0.25,21.62,0.01,2.88,0.8913553798464195
7,9,1981,30.12,17.65,64.69,0.28,22.16,0.00,3.18,1.1107395941299711
8,9,1981,31.61,17.91,67.04,0.68,15.01,0.89,3.22,1.1047076461675052
9,9,1981,28.64,17.85,74.23,0.90,22.25,0.58,4.81,0.7689376465016795
10,9,1981,24.14,18.26,72.55,0.40,19.08,0.02,4.14,0.7009436039244892
11,9,1981,25.32,19.32,84.17,0.77,14.03,1.10,2.94,0.43297497172679966
12,9,1981,25.04,18.91,78.23,0.53,16.28,0.02,2.36,0.5834815845187751
13,9,1981,29.39,16.71,60.96,0.51,21.36,0.00,3.15,1.171053650558945
14,9,1981,29.47,16.48,64.64,0.33,21.55,0.00,2.28,1.0591307234891019
15,9,1981,32.15,16.29,59.93,0.31,21.30,0.00,2.32,1.3318204374172948
16,9,1981,33.16,21.07,53.04,0.30,20.34,0.00,2.77,1.7781842627217532
17,9,1981,32.43,18.67,58.62,0.27,20.88,0.00,3.47,1.4532856576785975
18,9,1981,30.33,18.50,66.70,0.22,18.01,0.00,4.63,1.0745609189843885
19,9,1981,31.00,17.87,68.78,0.24,20.50,0.00,4.04,1.020858214792843
20,9,1981,23.67,18.20,81.70,0.16,12.97,0.17,4.00,0.45891002998151853
21,9,1981,20.57,14.51,86.88,1.44,5.41,17.64,3.51,0.2672778398140008
22,9,1981,20.93,14.51,71.31,2.49,15.32,0.04,4.77,0.592250368626702
23,9,1981,23.14,14.64,73.94,2.46,19.75,0.00,5.63,0.5862895568819784
24,9,1981,21.98,15.02,76.38,2.00,19.81,0.05,4.54,0.513528699446048
25,9,1981,21.50,18.28,86.63,1.21,6.04,3.82,7.22,0.3118570926874429
26,9,1981,20.10,15.14,72.57,2.85,13.38,7.15,6.92,0.5586905408417091
27,9,1981,19.88,14.79,75.64,1.89,10.38,0.84,4.06,0.48761342467859126
