Available from: "http://www.isa.ulisboa.pt/proj/clipick/climaterequest_fast.php?ar=5&lat=38.7087&lon=-9.1849&mod=hisafe&fmt=csv&tspan=d&sd=01&sm=01&sy=1981&ed=31&em=12&ey=2010&dts=knmievaluation"
Day,Month,Year,tasmax,tasmin,hurs,evspsbl,rsds,pr,sfcWind
8,3,1981,17.37,13.17,96.64,0.59,5.58,0.95,2.39
9,3,1981,23.30,13.58,85.16,1.82,16.05,0.14,2.16
10,3,1981,22.28,11.49,76.77,1.84,16.74,0.00,3.54
11,3,1981,20.44,10.42,84.25,1.50,16.66,0.00,4.20
12,3,1981,17.66,10.90,88.73,1.24,12.90,0.30,3.36
13,3,1981,16.86,10.14,70.54,1.70,16.34,0.00,3.25
14,3,1981,16.26,7.64,73.90,1.33,14.57,0.00,4.31
15,3,1981,17.03,5.79,67.64,1.55,18.87,0.00,2.86
16,3,1981,18.59,6.36,63.56,1.53,17.78,0.00,2.64
17,3,1981,20.08,6.51,66.38,1.57,21.19,0.00,2.95
18,3,1981,16.44,5.85,73.36,1.24,20.02,0.09,1.93
19,3,1981,15.48,8.87,78.95,0.57,6.08,0.59,3.30
20,3,1981,16.30,10.23,82.52,0.89,11.46,0.41,2.73
21,3,1981,16.85,11.54,76.48,0.91,9.45,1.34,6.02
22,3,1981,16.84,13.95,90.25,0.82,8.18,0.64,5.77
23,3,1981,17.22,14.07,91.12,0.78,8.73,0.67,4.27
24,3,1981,17.57,10.21,89.18,1.13,15.53,0.17,2.10
25,3,1981,16.37,10.03,90.22,0.71,6.86,4.13,3.93
26,3,1981,16.00,8.95,79.46,1.65,15.99,0.03,1.93
27,3,1981,15.08,8.83,94.39,0.68,2.35,20.11,6.14
28,3,1981,16.06,11.17,93.28,1.55,6.43,11.17,6.88
29,3,1981,14.44,8.68,79.21,2.68,16.74,5.94,7.85
30,3,1981,14.68,8.66,75.47,1.88,12.77,0.11,8.46
31,3,1981,16.31,6.87,77.30,2.31,21.80,0.00,4.00
1,4,1981,15.24,11.12,91.46,1.52,5.29,16.61,7.69
2,4,1981,16.15,9.55,82.23,1.76,12.55,1.73,4.76
3,4,1981,15.66,8.39,83.09,1.82,16.63,0.02,2.37
4,4,1981,16.40,10.09,78.94,2.41,21.53,0.06,1.45
5,4,1981,16.41,9.79,82.86,1.50,13.85,0.00,1.76
6,4,1981,16.93,9.55,87.92,1.46,13.94,0.31,2.25
7,4,1981,18.02,10.67,88.20,1.73,16.65,0.10,1.88
8,4,1981,21.99,10.97,79.09,2.10,16.11,0.20,2.72
9,4,1981,25.25,14.42,88.86,1.62,9.98,16.31,4.58
10,4,1981,17.94,13.90,90.78,1.60,9.50,2.97,6.19
11,4,1981,17.14,10.65,86.29,1.91,15.83,0.37,2.57
12,4,1981,16.45,10.86,84.94,1.85,15.19,1.47,2.70
13,4,1981,16.73,10.55,79.45,1.80,13.68,1.51,4.52
14,4,1981,17.26,9.13,78.89,2.66,22.97,0.00,2.57
15,4,1981,16.97,9.47,76.04,2.50,20.78,0.13,5.46
16,4,1981,15.12,10.90,80.51,1.58,11.22,0.38,7.28
17,4,1981,17.23,11.92,79.87,2.47,22.34,0.00,7.52
18,4,1981,18.11,10.19,78.17,2.65,25.04,0.03,4.04
19,4,1981,15.95,9.83,79.17,2.07,20.85,0.02,2.87
20,4,1981,17.38,9.88,84.74,1.59,16.09,0.13,3.52
21,4,1981,18.59,8.31,57.71,2.89,27.00,0.00,6.34
22,4,1981,16.70,6.95,63.46,2.36,27.20,0.00,4.53
23,4,1981,19.17,7.52,66.45,2.27,27.31,0.00,4.27
24,4,1981,18.50,8.65,75.35,1.74,26.07,0.00,4.24
25,4,1981,16.13,8.98,67.00,1.26,13.91,0.42,6.67
26,4,1981,14.73,7.74,58.81,1.68,25.35,0.02,6.35
27,4,1981,14.92,6.03,63.94,1.40,24.03,0.02,5.03
28,4,1981,18.46,6.43,55.57,1.72,27.34,0.00,5.03
29,4,1981,18.73,6.64,63.59,1.41,26.96,0.00,4.42
30,4,1981,19.40,9.72,75.12,1.15,26.27,0.00,4.00
1,5,1981,20.50,9.00,75.79,1.14,27.63,0.00,3.44
2,5,1981,19.75,10.75,70.44,0.92,27.34,0.02,6.77
3,5,1981,22.65,10.56,57.02,1.21,28.51,0.00,5.06
4,5,1981,20.61,9.74,67.41,0.83,28.28,0.00,6.64
5,5,1981,28.45,10.15,61.52,1.10,28.39,0.00,5.06
6,5,1981,26.98,12.53,67.81,0.84,22.12,0.44,4.56
7,5,1981,17.31,12.92,79.69,1.52,11.83,5.05,6.63
