Statistical table extracted on October 17, 2024 (23:02:41),,
http://www.ine.pt,,,
,,,
,,,
,,,
Geographic localization (NUTS - 2024);Rural fires (No.) by Geographic localization (NUTS - 2024) and Cause of fire -  Annual;;;;;;;,,,
;Data reference period;;;;;;;,,,
;2023;;;;;;;,,,
;Cause of fire;;;;;;;,,,
;Total;Negligence;Intentional;Naturais;Re-ignition;Undetermined;Not investigated;,,,
1920608: Mira;11 &;5 &;3 &;0 &;0 &;3 &;0 &;,,,
1920609: Miranda do Corvo;11 &;4 &;3 &;0 &;0 &;4 &;0 &;,,,
1920610: Montemor-o-Velho;26 &;7 &;16 &;0 &;3 &;0 &;0 &;,,,
1921808: Mort�gua;6 &;3 &;0 &;3 &;0 &;0 &;0 &;,,,
1920611: Oliveira do Hospital;13 &;3 &;7 &;2 &;0 &;1 &;0 &;,,,
1920612: Pampilhosa da Serra;3 &;0 &;1 &;0 &;0 &;2 &;0 &;,,,
1920613: Penacova;5 &;4 &;1 &;0 &;0 &;0 &;0 &;,,,
1920614: Penela;8 &;3 &;5 &;0 &;0 &;0 &;0 &;,,,
1920615: Soure;7 &;4 &;3 &;0 &;0 &;0 &;0 &;,,,
1920616: T�bua;3 &;3 &;0 &;0 &;0 &;0 &;0 &;,,,
1920617: Vila Nova de Poiares;2 &;2 &;0 &;0 &;0 &;0 &;0 &;,,,
193: Regi�o de Leiria;171 &;79 &;60 &;1 &;9 &;22 &;0 &;,,,
1931002: Alvai�zere;6 &;3 &;1 &;0 &;1 &;1 &;0 &;,,,
1931003: Ansi�o;5 &;1 &;3 &;0 &;0 &;1 &;0 &;,,,
1931004: Batalha;6 &;2 &;1 &;0 &;0 &;3 &;0 &;,,,
1931007: Castanheira de P�ra;4 &;1 &;1 &;0 &;0 &;2 &;0 &;,,,
1931008: Figueir� dos Vinhos;5 &;4 &;1 &;0 &;0 &;0 &;0 &;,,,
1931009: Leiria;70 &;30 &;23 &;0 &;6 &;11 &;0 &;,,,
1931010: Marinha Grande;16 &;11 &;3 &;0 &;0 &;2 &;0 &;,,,
1931013: Pedr�g�o Grande;7 &;3 &;4 &;0 &;0 &;0 &;0 &;,,,
1931015: Pombal;35 &;13 &;19 &;1 &;1 &;1 &;0 &;,,,
1931016: Porto de M�s;17 &;11 &;4 &;0 &;1 &;1 &;0 &;,,,
194: Viseu D�o Laf�es;324 &;175 &;106 &;6 &;4 &;33 &;0 &;,,,
1940901: Aguiar da Beira;11 &;6 &;5 &;0 &;0 &;0 &;0 &;,,,
1941802: Carregal do Sal;7 &;4 &;3 &;0 &;0 &;0 &;0 &;,,,
1941803: Castro Daire;80 &;65 &;10 &;0 &;0 &;5 &;0 &;,,,
1941806: Mangualde;23 &;9 &;12 &;0 &;1 &;1 &;0 &;,,,
1941809: Nelas;17 &;5 &;11 &;0 &;0 &;1 &;0 &;,,,
1941810: Oliveira de Frades;10 &;2 &;7 &;0 &;0 &;1 &;0 &;,,,
1941811: Penalva do Castelo;12 &;2 &;10 &;0 &;0 &;0 &;0 &;,,,
1941814: Santa Comba D�o;2 &;1 &;1 &;0 &;0 &;0 &;0 &;,,,
1941816: S�o Pedro do Sul;10 &;6 &;1 &;2 &;1 &;0 &;0 &;,,,
1941817: S�t�o;18 &;7 &;10 &;0 &;1 &;0 &;0 &;,,,
1941821: Tondela;28 &;16 &;7 &;1 &;0 &;4 &;0 &;,,,
1941822: Vila Nova de Paiva;41 &;23 &;17 &;1 &;0 &;0 &;0 &;,,,
1941823: Viseu;58 &;26 &;12 &;1 &;0 &;19 &;0 &;,,,
1941824: Vouzela;7 &;3 &;0 &;1 &;1 &;2 &;0 &;,,,
195: Beira Baixa;143 &;93 &;26 &;13 &;1 &;10 &;0 &;,,,
